# Segmentos con repeticiones reales (críticas + altas): 72
# Escucha cada .wav para verificar si la repetición es fiel al audio

❌ [ 1] critical  67.8% (3x)
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/GU_A_COMPLETA__INTELIGENCIA_ARTIFICIAL_para_EMPREN/seg_0361_SPK_00.wav
    Frase:   "la calidad de la pregunta..."
    Texto:   "Eso habla de la calidad de la pregunta. Eso, la calidad de la pregunta, si lo utilizamos en temas individuales, sí. Si l..."

⚠️ [59] high      28.0% (3x)
    Archivo: El_gen_emprendedor___Luis_Ramos___TEDxPlazaFundado.json  entry#51
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/El_gen_emprendedor___Luis_Ramos___TEDxPlazaFundado/seg_0051_SPK_00.wav
    Frase:   "invertir en tu empresa..."
    Texto:   "¿Tienes que invertir en tu empresa? Sí, hay que invertir. Sí, sorry, hay que invertir en tu empresa. Pero invertir en tu..."

⚠️ [60] high      27.8% (3x)
    Archivo: Experto_en_Ganar_Musculo_-_Habitos_para_Ganar_Masa.json  entry#252
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/Experto_en_Ganar_Musculo_-_Habitos_para_Ganar_Masa/seg_0252_SPK_00.wav
    Frase:   "un día muy específico para..."
    Texto:   "O sea, un día muy específico para todo el tren superior, un día muy específico para todo el tren inferior y un día muy e..."

⚠️ [61] high      27.6% (3x)
    Archivo: Los_Secretos_de_la_Inteligencia_Artificial________.json  entry#439
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/Los_Secretos_de_la_Inteligencia_Artificial________/seg_0439_SPK_00.wav
    Frase:   "en la evolución de la..."
    Texto:   "Sí, yo creo que lo que él dice es que nos solemos basar en la evolución de la especie humana y deberíamos habernos basad..."

⚠️ [62] high      27.4% (3x)
    Archivo: 526__Las_4_claves_para_mejorar_tus_finanzas_person.json  entry#133
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/526__Las_4_claves_para_mejorar_tus_finanzas_person/seg_0133_SPK_01.wav
    Frase:   "de mínimo tienes que..."
    Texto:   "Si le crees o no a estos porcentajes de mínimo tienes que ahorrar tanto o de mínimo tienes que tener un colchón de tanto..."

⚠️ [63] high      27.3% (6x)
    Archivo: V__Completa__Ciencia_fascinante_para_personas_curi.json  entry#127
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/V__Completa__Ciencia_fascinante_para_personas_curi/seg_0127_SPK_01.wav
    Frase:   "que la velocidad de la luz..."
    Texto:   "Pero esta velocidad de la luz resultaba ser absoluta, no era relativa a nada. Esto parece que contradecía el principio d..."

⚠️ [64] high      27.3% (3x)
    Archivo: _56_-_Experto_en_IA__Co_mo_Sobrevivir_a_la_Intelig.json  entry#75
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/_56_-_Experto_en_IA__Co_mo_Sobrevivir_a_la_Intelig/seg_0075_SPK_01.wav
    Frase:   "lo mismo está pasando con los..."
    Texto:   "que compren imágenes de fotógrafos. Pero lo mismo está pasando con los traductores, lo mismo está pasando con los actore..."

⚠️ [65] high      26.9% (3x)
    Archivo: C_mo_Invertir_en_Bienes_Ra_ces_en_2026__Paso_a_Pas.json  entry#234
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/C_mo_Invertir_en_Bienes_Ra_ces_en_2026__Paso_a_Pas/seg_0234_SPK_00.wav
    Frase:   "la tasa de referencia..."
    Texto:   "realmente si tú me preguntas a cuánto puede alcanzar, pues sería a la tasa de referencia, que hoy creo que la tasa de re..."

⚠️ [66] high      26.8% (3x)
    Archivo: 7_H_bitos_para_Mejorar_tu_Salud_y_Transformar_tu_V.json  entry#285
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/7_H_bitos_para_Mejorar_tu_Salud_y_Transformar_tu_V/seg_0285_SPK_00.wav
    Frase:   "se prensa en frío..."
    Texto:   "de mínimo proceso, como es el aceite de oliva, que simplemente la oliva se prensa en frío y eso es lo que se obtiene, co..."

⚠️ [67] high      26.3% (3x)
    Archivo: Quebr__su_empresa__fue_taxista_y_volvi__a_empezar_.json  entry#123
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/Quebr__su_empresa__fue_taxista_y_volvi__a_empezar_/seg_0123_SPK_01.wav
    Frase:   "no te hablaría de..."
    Texto:   "lo pondría sobre la mesa, por encima de cualquier otro, no te hablaría de la calidad del producto, no te hablaría del ta..."

⚠️ [68] high      26.2% (3x)
    Archivo: Casos_Clinicos_GOB_I_DPPNI__Inminencia_Ruptura_Ute.json  entry#66
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/Casos_Clinicos_GOB_I_DPPNI__Inminencia_Ruptura_Ute/seg_0066_SPK_01.wav
    Frase:   "se salió a cavidad..."
    Texto:   "Y en la ruptura uterina consumada, el útero ya se rompió, las membranas se rompieron, el líquido amniótico se salió a ca..."

⚠️ [69] high      26.0% (3x)
    Archivo: SECRETOS_para_avanzar_en_PROGRAMACI_N___Con__midud.json  entry#62
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/SECRETOS_para_avanzar_en_PROGRAMACI_N___Con__midud/seg_0062_SPK_00.wav
    Frase:   "no me chafes la guitarra,..."
    Texto:   "A ver, yo no quiero ser aquí el que... Hay una expresión en catalán que dice no me chafes la guitarra, que quiere decir ..."

⚠️ [70] high      25.7% (3x)
    Archivo: 7_H_bitos_para_Mejorar_tu_Salud_y_Transformar_tu_V.json  entry#102
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/7_H_bitos_para_Mejorar_tu_Salud_y_Transformar_tu_V/seg_0102_SPK_00.wav
    Frase:   "para el control de la..."
    Texto:   "Hay beneficios hormonales para el control de la insulina, para el control de la leptina, para el control de la grelina, ..."

⚠️ [71] high      25.6% (4x)
    Archivo: Experto_en_IA__C_mo_Usar_la_Inteligencia_Artificia.json  entry#384
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/Experto_en_IA__C_mo_Usar_la_Inteligencia_Artificia/seg_0384_SPK_00.wav
    Frase:   "todos los libros de..."
    Texto:   "pídeselo a la IA, a ver, recordemos lo que dijimos al principio, ¿cómo aprendió toda la IA? la IA ya leyó todos los libr..."

⚠️ [72] high      25.6% (3x)
    Archivo: VALVULOPATIAS_-_ENARM__I3ADwc2foHs_.json  entry#81
    Audio:   /media/ttech-main/8464b39b-ba5b-49c5-9e05-010122b9874d/normalized/VALVULOPATIAS_-_ENARM__I3ADwc2foHs_/seg_0081_SPK_00.wav
    Frase:   "de la tensión arterial..."
    Texto:   "Sucede cuando la medición de la tensión arterial puede incluir un aumento de la tensión arterial sistólica poplitea mayo..."

